,experiment,plate,formulation_number,di_name,tri_name,tri_count,di_count,adduct,charge,calculated_mz,spectrum_mz,separation_mz,intensity,topology
223,AB-02-005,4,26,Di18,TriP,2,3,H1,1,919.4183107545,919.42278,920.42545,709700.0,2+3
224,AB-02-005,4,26,Di18,TriP,2,3,K1,1,957.3741924026,957.37781,958.38074,77880.0,2+3
225,AB-02-005,4,33,Di17,TriQ,2,3,H1,1,1009.4957709459,1009.50035,1010.50367,138000.0,2+3
226,AB-02-005,4,34,Di18,TriQ,2,3,H2,2,568.322223276,568.3251,568.82715,127200.0,2+3
227,AB-02-005,4,34,Di18,TriQ,2,3,H1,1,1135.6366215201,1135.64059,1136.64462,174500.0,2+3
228,AB-02-005,4,39,Di23,TriQ,2,3,H2,2,586.322223276,586.32375,586.8269,84390.0,2+3
229,AB-02-005,4,40,Di24,TriQ,2,3,H2,2,586.322223276,586.32626,586.82796,582100.0,2+3
230,AB-02-005,4,40,Di24,TriQ,2,3,H1,1,1171.6366215201,1171.64272,1172.64623,972700.0,2+3
231,AB-02-005,4,41,Di17,TriR,2,3,H2,2,517.2365429888999,517.24029,517.74214,175400.0,2+3
232,AB-02-005,4,41,Di17,TriR,2,3,H1,1,1033.4652609459,1033.47038,1034.47436,774500.0,2+3
